vname,frame_no,flux_r,flux_g,flux_b,area_r,area_g,area_b,r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r_seq,g_seq,b_seq
auroramaxHD_20180421_480p.mp4,17,8841.0,789907.0,14960748.0,1280,9012,151837,27,53,100,40,59,98,32,52,91,41,61,93,55,72,97,55,68,98,59,77,97,64,79,94,60,75,91,33,46,87,29,45,87,[27 40 32 41 55 55 59 64 60 33 29],[53 59 52 61 72 68 77 79 75 46 45],[100  98  91  93  97  98  97  94  91  87  87]
auroramaxHD_20180421_480p.mp4,18,9869.0,810790.0,14884986.0,1383,9034,151314,28,53,100,40,58,97,33,53,90,40,62,93,55,72,97,58,71,99,60,79,97,67,81,95,58,74,90,32,46,88,30,45,85,[28 40 33 40 55 58 60 67 58 32 30],[53 58 53 62 72 71 79 81 74 46 45],[100  97  90  93  97  99  97  95  90  88  85]
auroramaxHD_20180421_480p.mp4,19,8664.0,893661.0,14831028.0,1327,9974,150858,28,53,99,39,57,98,31,52,90,40,58,95,56,73,98,61,74,98,61,83,96,68,84,94,56,73,90,32,46,87,30,45,85,[28 39 31 40 56 61 61 68 56 32 30],[53 57 52 58 73 74 83 84 73 46 45],[99 98 90 95 98 98 96 94 90 87 85]
auroramaxHD_20180421_480p.mp4,20,10359.0,1039141.0,14734475.0,1718,11022,149778,28,52,99,38,57,97,30,49,90,38,58,93,55,69,97,61,76,98,65,82,97,71,84,94,56,71,90,33,46,87,30,44,85,[28 38 30 38 55 61 65 71 56 33 30],[52 57 49 58 69 76 82 84 71 46 44],[99 97 90 93 97 98 97 94 90 87 85]
auroramaxHD_20180421_480p.mp4,21,12248.0,1050523.0,14699126.0,2028,10935,149489,28,50,99,38,56,97,30,49,90,34,56,93,54,68,96,59,74,98,63,78,97,72,86,94,55,68,89,33,44,87,30,44,84,[28 38 30 34 54 59 63 72 55 33 30],[50 56 49 56 68 74 78 86 68 44 44],[99 97 90 93 96 98 97 94 89 87 84]
auroramaxHD_20180421_480p.mp4,22,7643.0,1035059.0,14686962.0,1685,10863,149639,29,50,99,37,56,96,30,49,90,34,55,94,56,68,96,61,75,98,62,82,96,73,87,95,54,67,89,32,44,88,31,44,84,[29 37 30 34 56 61 62 73 54 32 31],[50 56 49 55 68 75 82 87 67 44 44],[99 96 90 94 96 98 96 95 89 88 84]
auroramaxHD_20180421_480p.mp4,23,5509.0,1098785.0,14738784.0,1343,11529,150695,28,50,99,38,57,96,30,48,91,36,55,93,56,68,96,62,75,98,62,82,96,75,86,94,52,65,89,31,43,86,30,44,84,[28 38 30 36 56 62 62 75 52 31 30],[50 57 48 55 68 75 82 86 65 43 44],[99 96 91 93 96 98 96 94 89 86 84]
auroramaxHD_20180421_480p.mp4,24,7888.0,1060405.0,14629456.0,1767,11218,149600,29,49,98,40,58,96,31,47,90,41,55,93,57,69,96,62,73,99,63,83,95,75,86,93,52,65,88,31,43,86,31,43,84,[29 40 31 41 57 62 63 75 52 31 31],[49 58 47 55 69 73 83 86 65 43 43],[98 96 90 93 96 99 95 93 88 86 84]
auroramaxHD_20180421_480p.mp4,25,6319.0,954339.0,14659395.0,1382,10513,150693,28,48,98,40,57,95,31,48,89,42,63,92,57,69,96,64,77,98,64,83,95,74,85,93,49,63,87,30,43,86,31,44,83,[28 40 31 42 57 64 64 74 49 30 31],[48 57 48 63 69 77 83 85 63 43 44],[98 95 89 92 96 98 95 93 87 86 83]
auroramaxHD_20180421_480p.mp4,26,7550.0,1111817.0,14350728.0,1706,11791,148564,28,47,96,38,56,94,30,49,89,41,61,91,59,71,94,65,80,97,64,81,96,72,84,90,48,62,86,31,42,85,31,43,83,[28 38 30 41 59 65 64 72 48 31 31],[47 56 49 61 71 80 81 84 62 42 43],[96 94 89 91 94 97 96 90 86 85 83]
auroramaxHD_20180421_480p.mp4,27,5599.0,1084607.0,14309613.0,1369,12082,148944,27,47,98,36,55,94,29,48,89,41,58,91,59,71,96,64,77,96,63,79,96,69,83,90,47,60,86,30,42,84,30,43,83,[27 36 29 41 59 64 63 69 47 30 30],[47 55 48 58 71 77 79 83 60 42 43],[98 94 89 91 96 96 96 90 86 84 83]
auroramaxHD_20180421_480p.mp4,28,8258.0,1071297.0,14268856.0,1863,11485,149418,26,46,96,34,54,94,28,48,88,41,57,90,58,73,94,63,74,96,64,79,95,67,82,90,47,60,86,29,42,83,30,43,82,[26 34 28 41 58 63 64 67 47 29 30],[46 54 48 57 73 74 79 82 60 42 43],[96 94 88 90 94 96 95 90 86 83 82]
auroramaxHD_20180421_480p.mp4,29,7252.0,1032802.0,14205817.0,1685,11363,149958,26,45,96,32,51,93,28,47,88,40,59,89,57,74,93,66,77,95,65,78,95,66,79,88,46,60,84,29,42,82,30,43,82,[26 32 28 40 57 66 65 66 46 29 30],[45 51 47 59 74 77 78 79 60 42 43],[96 93 88 89 93 95 95 88 84 82 82]
auroramaxHD_20180421_480p.mp4,30,8240.0,1017784.0,14148838.0,1917,10848,150100,26,45,95,33,50,93,28,47,87,40,59,89,56,75,93,66,78,94,62,80,95,65,76,87,46,59,84,28,42,81,29,44,81,[26 33 28 40 56 66 62 65 46 28 29],[45 50 47 59 75 78 80 76 59 42 44],[95 93 87 89 93 94 95 87 84 81 81]
auroramaxHD_20180421_480p.mp4,31,6796.0,962012.0,14138761.0,1448,10870,150811,25,45,95,32,49,93,28,46,87,39,58,89,56,75,93,68,78,95,63,81,95,63,76,86,45,58,84,27,41,81,29,43,82,[25 32 28 39 56 68 63 63 45 27 29],[45 49 46 58 75 78 81 76 58 41 43],[95 93 87 89 93 95 95 86 84 81 82]
auroramaxHD_20180421_480p.mp4,32,7326.0,924660.0,14034060.0,1294,10433,150674,25,45,94,32,49,92,27,45,87,38,56,87,55,75,91,69,82,96,64,77,93,63,75,86,44,57,84,27,42,81,29,43,81,[25 32 27 38 55 69 64 63 44 27 29],[45 49 45 56 75 82 77 75 57 42 43],[94 92 87 87 91 96 93 86 84 81 81]
auroramaxHD_20180421_480p.mp4,33,9912.0,832957.0,13994434.0,1641,9515,151046,25,45,94,30,48,92,27,44,86,38,57,86,53,74,91,70,81,94,62,77,94,63,75,85,43,55,82,28,42,80,29,43,81,[25 30 27 38 53 70 62 63 43 28 29],[45 48 44 57 74 81 77 75 55 42 43],[94 92 86 86 91 94 94 85 82 80 81]
auroramaxHD_20180421_480p.mp4,34,8472.0,864742.0,13917740.0,1526,9539,151129,24,44,94,31,50,90,27,43,86,38,53,85,53,76,90,70,82,93,61,77,93,61,72,85,42,55,83,29,42,80,29,43,81,[24 31 27 38 53 70 61 61 42 29 29],[44 50 43 53 76 82 77 72 55 42 43],[94 90 86 85 90 93 93 85 83 80 81]
auroramaxHD_20180421_480p.mp4,35,9088.0,841583.0,13872389.0,1325,9598,150977,24,44,94,30,49,90,29,45,86,37,54,85,52,73,90,68,81,94,62,76,94,58,70,84,41,54,83,28,42,80,29,43,81,[24 30 29 37 52 68 62 58 41 28 29],[44 49 45 54 73 81 76 70 54 42 43],[94 90 86 85 90 94 94 84 83 80 81]
auroramaxHD_20180421_480p.mp4,36,10482.0,834432.0,13841204.0,1755,9175,150628,26,44,92,31,50,90,28,44,86,36,52,84,51,73,89,68,78,94,65,78,94,60,70,84,42,54,82,28,42,80,29,43,80,[26 31 28 36 51 68 65 60 42 28 29],[44 50 44 52 73 78 78 70 54 42 43],[92 90 86 84 89 94 94 84 82 80 80]
auroramaxHD_20180421_480p.mp4,37,13116.0,866452.0,13788241.0,1838,9741,150572,26,45,92,32,50,90,28,44,85,32,48,83,50,70,88,67,78,94,67,78,94,61,71,83,42,55,82,28,42,80,29,43,80,[26 32 28 32 50 67 67 61 42 28 29],[45 50 44 48 70 78 78 71 55 42 43],[92 90 85 83 88 94 94 83 82 80 80]
auroramaxHD_20180421_480p.mp4,38,13624.0,881732.0,13769452.0,1595,9917,150673,25,44,92,32,50,89,28,44,84,31,44,83,51,67,87,66,78,95,68,81,94,62,73,84,44,55,82,28,43,80,29,43,80,[25 32 28 31 51 66 68 62 44 28 29],[44 50 44 44 67 78 81 73 55 43 43],[92 89 84 83 87 95 94 84 82 80 80]
auroramaxHD_20180421_480p.mp4,39,10485.0,905938.0,13714989.0,1430,10340,150409,26,44,92,32,50,89,28,44,85,30,44,83,50,65,87,68,79,94,70,81,95,62,74,85,45,56,82,29,42,80,29,42,80,[26 32 28 30 50 68 70 62 45 29 29],[44 50 44 44 65 79 81 74 56 42 42],[92 89 85 83 87 94 95 85 82 80 80]
auroramaxHD_20180421_480p.mp4,40,16102.0,998046.0,13640150.0,1409,11159,149823,25,45,91,31,52,89,27,45,84,30,44,83,51,62,86,67,76,93,75,85,95,63,75,84,46,58,83,30,43,80,29,42,79,[25 31 27 30 51 67 75 63 46 30 29],[45 52 45 44 62 76 85 75 58 43 42],[91 89 84 83 86 93 95 84 83 80 79]
auroramaxHD_20180421_480p.mp4,41,83742.0,1084378.0,13558947.0,2435,11454,148635,26,45,92,31,53,89,29,46,84,29,43,83,51,61,87,63,72,93,77,86,96,64,77,86,49,59,82,32,44,81,29,43,79,[26 31 29 29 51 63 77 64 49 32 29],[45 53 46 43 61 72 86 77 59 44 43],[92 89 84 83 87 93 96 86 82 81 79]
auroramaxHD_20180421_480p.mp4,42,175338.0,1137525.0,13550719.0,2692,12192,148612,27,44,91,30,54,90,28,47,83,30,41,82,50,60,87,63,71,93,80,89,97,66,77,85,52,62,83,33,44,81,30,42,79,[27 30 28 30 50 63 80 66 52 33 30],[44 54 47 41 60 71 89 77 62 44 42],[91 90 83 82 87 93 97 85 83 81 79]
auroramaxHD_20180421_480p.mp4,43,457290.0,1140891.0,13585045.0,5749,11351,148419,27,45,92,31,53,89,29,47,84,29,42,83,48,56,86,63,71,95,85,93,98,67,78,87,53,63,83,35,45,81,31,43,79,[27 31 29 29 48 63 85 67 53 35 31],[45 53 47 42 56 71 93 78 63 45 43],[92 89 84 83 86 95 98 87 83 81 79]
auroramaxHD_20180421_480p.mp4,44,592183.0,1181189.0,13555055.0,6778,11817,147873,27,45,92,31,53,89,29,46,85,30,42,82,48,56,86,63,70,93,92,98,98,70,79,88,55,64,83,37,46,81,31,42,81,[27 31 29 30 48 63 92 70 55 37 31],[45 53 46 42 56 70 98 79 64 46 42],[92 89 85 82 86 93 98 88 83 81 81]
auroramaxHD_20180421_480p.mp4,45,718589.0,1345327.0,13398575.0,8322,13207,146363,28,45,91,31,52,89,30,46,84,30,43,83,48,56,85,60,68,92,99,101,98,72,80,88,56,64,83,40,48,82,31,41,81,[28 31 30 30 48 60 99 72 56 40 31],[ 45  52  46  43  56  68 101  80  64  48  41],[91 89 84 83 85 92 98 88 83 82 81]
auroramaxHD_20180421_480p.mp4,46,781716.0,1392410.0,13290167.0,8342,13849,145974,28,44,91,31,52,89,30,46,84,30,43,83,49,55,85,56,68,90,97,103,98,74,81,89,55,63,83,41,49,82,32,42,81,[28 31 30 30 49 56 97 74 55 41 32],[ 44  52  46  43  55  68 103  81  63  49  42],[91 89 84 83 85 90 98 89 83 82 81]
auroramaxHD_20180421_480p.mp4,47,837433.0,1390100.0,13235907.0,9591,13321,145124,29,43,91,32,51,88,30,45,83,36,43,83,49,56,85,53,67,89,100,103,98,80,83,89,56,63,83,42,50,82,32,42,79,[ 29  32  30  36  49  53 100  80  56  42  32],[ 43  51  45  43  56  67 103  83  63  50  42],[91 88 83 83 85 89 98 89 83 82 79]
auroramaxHD_20180421_480p.mp4,48,813942.0,1467283.0,13186904.0,9103,14128,144964,28,42,91,32,51,88,30,43,83,35,49,84,51,58,86,53,64,89,102,105,99,81,87,91,56,63,83,44,51,81,33,42,79,[ 28  32  30  35  51  53 102  81  56  44  33],[ 42  51  43  49  58  64 105  87  63  51  42],[91 88 83 84 86 89 99 91 83 81 79]
