32 34 35 37 37 37 35 35 35 34 34 
42 40 38 36 35 33 32 31 30 29 30 
111 93 82 73 67 63 61 61 63 65 65 
13 13 13 13 13 14 17 21 25 26 26 
30 29 27 25 25 24 24 25 25 25 26 
31 32 31 31 30 29 30 31 32 33 33 
52 51 49 48 46 47 54 56 53 50 47 
51 53 54 54 52 49 48 46 42 39 37 
23 22 22 22 23 25 30 37 47 61 80 
93 91 85 85 89 91 95 88 84 82 81 
37 35 34 33 31 29 28 26 26 26 26 
9 9 10 10 11 13 13 13 14 16 17 
15 19 21 25 24 22 23 23 24 22 21 
24 21 19 17 16 15 15 15 15 16 18 
50 48 44 42 40 37 35 32 30 30 31 
19 22 29 36 34 31 29 29 28 25 23 
18 20 22 23 25 27 31 35 37 39 40 
139 118 105 95 87 83 80 80 81 83 84 
28 34 38 47 46 45 43 44 40 33 33 
40 38 37 38 37 36 35 35 35 36 37 
76 71 67 64 64 63 64 62 60 57 54 
40 40 39 39 39 39 40 39 40 40 42 
59 60 60 60 61 61 60 62 62 57 52 
68 60 54 50 46 43 41 39 38 38 38 
22 24 23 22 23 23 23 23 23 22 21 
