0 0 4 8 8 7 12 15 13 20 23 
0 2 4 5 0 4 4 0 0 0 0 
0 0 4 4 3 3 4 4 9 5 0 
0 0 0 1 1 1 1 3 9 14 19 
0 8 15 17 13 9 12 10 5 2 0 
0 0 31 47 44 20 13 17 1 0 0 
0 2 6 7 6 3 8 9 8 3 0 
12 34 49 55 55 53 39 27 5 2 0 
24 26 26 26 26 26 28 28 27 27 27 
0 5 6 2 3 1 9 1 6 6 0 
0 0 6 14 10 7 20 15 7 0 0 
0 3 10 12 9 4 8 9 6 3 0 
1 0 7 6 7 6 11 9 7 2 0 
0 0 13 8 7 9 35 62 46 3 4 
42 25 14 11 12 0 0 2 0 0 0 
0 0 0 0 4 0 8 17 14 2 0 
13 16 24 17 11 5 1 0 0 0 0 
0 3 6 2 2 1 5 6 8 5 1 
1 0 5 4 3 3 7 8 8 3 0 
0 3 7 4 2 1 5 3 5 3 0 
0 1 5 4 3 1 6 9 8 3 0 
0 3 6 5 5 1 5 4 5 3 0 
0 0 6 0 0 0 0 2 4 11 11 
0 8 12 12 13 15 22 23 25 27 28 
0 5 8 4 3 1 8 1 5 6 0 
